,Steps,TotalHrInBed,TotalHrAsleep,AverageIntensity,TotalSteps,Calories,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance
Monday,705813,350.633333334,321.616666673,0.20186998566934639,933704,278905,184.480001045,70.299999891,403.56999991600003,0.310000002
Tuesday,901485,480.233333337,438.250000002,0.2073796375,1235001,358114,245.220000511,90.139999913,527.59999914,0.22
Wednesday,791405,517.033333338,478.150000009,0.19597782971525232,1133906,345393,245.020000061,79.059999935,488.450001074,0.199999999
Thursday,784496,463.866666666,428.050000001,0.1987816134632958,1088658,323337,204.400001084,74.25999978,482.619999667,0.339999998
Friday,687186,422.799999999,385.150000002,0.20155155822489157,938477,293805,165.429999232,60.959999879,439.629997969,0.23
Saturday,748484,436.849999995,398.116666667,0.21501430428816468,1010969,292016,187.809997569,83.989999427,448.529999824,0.129999999
Sunday,627273,461.549999982,415.016666677,0.18306284772099446,838921,273823,180.16000044,74.779999462,349.970002081,0.08
